Crop_Type,Soil_Type,Nitrogen_N,Phosphorus_P,Potassium_K,pH_Level,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Fertilizer_Recommendation,Irrigation_Method,Water_Requirement_mm
Maize,Sandy Loam,71,51,13,7.5,23,37,67,123,Urea,Furrow,0.0
Apple,Clay Loam,40,19,96,6.6,18,58,50,117,NPK 10-26-26,Drip,0.0
Watermelon,Sandy,73,38,71,6.1,37,36,93,139,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,56,12,67,7.3,33,55,67,49,DAP,Drip,0.0
Apple,Clay Loam,73,50,70,5.6,18,71,35,112,MOP,Drip,0.0
Grapes,Sandy Loam,78,40,162,7.3,20,71,68,246,Organic Compost / General,Drip,0.0
Blackgram,Loamy,14,51,19,7.2,22,76,39,39,Organic Compost / General,Furrow,0.0
Mothbeans,Sandy,7,7,0,6.5,22,55,50,199,DAP,Drip,0.0
Banana,Clay,143,51,200,6.3,31,81,25,118,Organic Compost / General,Drip,0.0
Lentil,Loamy,25,59,21,6.6,25,31,32,47,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,0,44,0,5.8,31,86,24,55,MOP,Sprinkler,0.0
Watermelon,Sandy,67,42,62,6.4,26,90,84,82,Organic Compost / General,Drip,0.0
Coffee,Red,106,51,71,5.3,34,83,69,2,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,55,59,150,7.2,31,82,49,189,Organic Compost / General,Drip,0.0
Coffee,Red,60,1,98,4.5,32,81,70,231,DAP,Sprinkler,0.0
Cotton,Black,87,16,31,6.0,18,89,86,198,DAP,Drip,0.0
Cotton,Black,108,53,52,8.1,32,84,81,34,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,10,26,45,7.8,23,30,50,112,DAP,Drip,0.0
Apple,Clay Loam,67,44,69,5.4,23,69,81,131,MOP,Drip,0.0
Coconut,Red,96,52,134,6.7,22,59,33,46,Organic Compost / General,Basin,11.2
Mothbeans,Sandy,38,32,0,6.9,38,48,57,99,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,36,35,131,7.0,32,46,50,239,Urea,Drip,0.0
Mothbeans,Sandy,0,65,0,7.7,24,83,82,201,Organic Compost / General,Drip,0.0
Lentil,Loamy,50,26,5,5.6,36,59,95,96,SSP,Sprinkler,0.0
Mango,Loamy,83,28,90,6.7,21,73,34,26,Organic Compost / General,Drip,3.2
Blackgram,Loamy,0,28,18,5.7,31,50,22,80,Ammonium Sulphate,Furrow,0.0
Watermelon,Sandy,56,26,71,7.3,30,76,87,1,Ammonium Sulphate,Drip,0.0
Grapes,Sandy Loam,82,38,106,7.5,34,73,80,242,MOP,Drip,0.0
Pigeonpeas,Loamy,42,36,32,5.8,25,88,35,189,SSP,Drip,0.0
Orange,Black,70,28,84,6.8,38,46,39,225,Ammonium Sulphate,Drip,0.0
Mothbeans,Sandy,18,36,22,6.4,37,89,57,152,Organic Compost / General,Drip,0.0
Papaya,Loamy,77,42,50,6.2,28,39,56,147,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,25,35,57,5.5,36,72,88,148,Organic Compost / General,Sprinkler,0.0
Coffee,Red,113,1,51,5.8,21,90,86,238,DAP,Sprinkler,0.0
Coconut,Red,115,58,131,7.4,25,79,95,162,Organic Compost / General,Basin,0.0
Banana,Clay,100,44,153,7.3,29,74,60,116,NPK 10-26-26,Drip,0.0
Mungbean,Sandy Loam,27,55,17,6.4,35,75,36,52,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,117,34,96,5.3,36,72,63,152,Organic Compost / General,Drip,0.0
Orange,Black,71,50,131,7.7,36,51,65,205,Organic Compost / General,Drip,0.0
Coconut,Red,113,41,152,6.0,37,69,88,139,Organic Compost / General,Basin,0.0
Mothbeans,Sandy,21,24,14,6.8,31,50,45,140,Organic Compost / General,Drip,0.0
Orange,Black,81,61,77,5.6,24,50,59,3,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,65,51,135,7.7,24,81,79,125,Organic Compost / General,Drip,0.0
Coffee,Red,75,13,90,5.7,35,84,83,54,Ammonium Sulphate,Sprinkler,0.0
Papaya,Loamy,80,75,94,7.1,19,60,88,160,Organic Compost / General,Drip,0.0
Orange,Black,71,59,82,6.6,27,44,25,181,Organic Compost / General,Drip,0.0
Blackgram,Loamy,20,52,14,7.3,32,38,56,168,Organic Compost / General,Furrow,0.0
Pigeonpeas,Loamy,2,65,9,6.9,24,87,68,230,Organic Compost / General,Drip,0.0
Mango,Loamy,77,41,101,6.8,35,38,91,5,Organic Compost / General,Drip,0.0
Mango,Loamy,83,58,108,5.7,35,52,48,85,Organic Compost / General,Drip,0.0
Chickpea,Loamy,12,75,57,6.3,34,58,54,175,Organic Compost / General,Sprinkler,0.0
Jute,Clay,23,42,32,6.7,16,52,50,125,Urea,Flood,0.0
Apple,Clay Loam,84,47,97,5.4,21,46,45,206,Organic Compost / General,Drip,0.0
Cotton,Black,86,39,56,6.4,34,65,32,244,Organic Compost / General,Drip,0.0
Banana,Clay,130,44,220,6.2,37,57,77,105,SSP,Drip,0.0
Orange,Black,84,50,98,7.5,30,34,49,83,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,90,47,21,7.3,17,36,95,127,Organic Compost / General,Furrow,0.0
Jute,Clay,37,25,78,6.9,29,63,89,12,Urea,Flood,0.0
Jute,Clay,74,21,13,6.8,35,46,60,24,Organic Compost / General,Flood,10.8
Orange,Black,60,32,83,5.8,28,46,51,179,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,13,39,7.4,21,85,24,230,DAP,Furrow,0.0
Rice,Clay,135,37,33,5.4,36,58,80,115,Organic Compost / General,Flood,0.0
Orange,Black,85,59,124,6.8,23,63,29,123,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,18,50,1,6.2,38,31,42,21,MOP,Sprinkler,0.0
Orange,Black,83,37,101,6.3,37,60,20,58,Organic Compost / General,Drip,6.1
Watermelon,Sandy,88,40,112,5.7,29,52,35,77,Organic Compost / General,Drip,0.0
Watermelon,Sandy,30,49,54,7.1,31,85,46,147,Urea,Drip,0.0
Chickpea,Loamy,9,65,27,6.1,26,44,26,56,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,39,37,17,7.9,29,68,28,99,SSP,Sprinkler,0.0
Mungbean,Sandy Loam,22,11,47,7.4,29,74,30,211,DAP,Sprinkler,0.0
Rice,Clay,66,34,32,7.2,19,41,59,165,Organic Compost / General,Flood,0.0
Papaya,Loamy,58,55,74,5.6,23,48,77,195,Urea,Drip,0.0
Orange,Black,104,40,70,6.8,33,62,81,50,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,50,22,124,6.1,21,58,56,199,DAP,Drip,0.0
Maize,Sandy Loam,115,60,67,6.4,27,61,77,103,Organic Compost / General,Furrow,0.0
Coffee,Red,81,53,48,4.7,33,81,76,176,MOP,Sprinkler,0.0
Pomegranate,Sandy,30,53,74,6.4,33,56,51,49,Urea,Drip,0.0
Coffee,Red,108,18,90,6.2,32,51,95,81,SSP,Sprinkler,0.0
Mothbeans,Sandy,3,31,12,7.4,19,34,27,2,Organic Compost / General,Drip,4.5
Papaya,Loamy,63,65,35,5.8,26,55,22,23,MOP,Drip,38.6
Coffee,Red,60,37,70,5.2,27,40,63,47,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,7,57,51,6.2,31,47,25,147,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,49,35,102,5.4,38,43,95,246,Urea,Drip,0.0
Apple,Clay Loam,62,44,141,5.6,16,83,79,150,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,47,46,84,7.5,35,33,71,146,Urea,Drip,0.0
Apple,Clay Loam,24,18,140,6.7,37,48,64,182,Urea,Drip,0.0
Mungbean,Sandy Loam,0,21,52,6.0,35,86,23,102,Ammonium Sulphate,Sprinkler,0.0
Pomegranate,Sandy,47,52,84,7.1,33,51,41,76,Organic Compost / General,Drip,0.0
Mango,Loamy,80,33,88,6.0,31,78,66,192,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,4,25,68,7.5,26,32,50,147,Ammonium Sulphate,Sprinkler,0.0
Grapes,Sandy Loam,46,34,170,5.6,28,50,91,153,Ammonium Sulphate,Drip,0.0
Mungbean,Sandy Loam,0,40,39,6.1,20,39,27,137,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,69,50,89,7.1,27,51,78,71,Organic Compost / General,Drip,0.0
Coffee,Red,100,23,79,6.1,29,89,27,250,Organic Compost / General,Sprinkler,0.0
Mungbean,Sandy Loam,44,31,21,7.3,28,53,84,74,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,79,52,135,6.0,19,37,22,128,Organic Compost / General,Drip,0.0
Watermelon,Sandy,77,45,85,7.3,37,62,38,216,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,73,42,36,7.0,33,49,87,103,MOP,Drip,0.0
Watermelon,Sandy,25,57,85,6.8,32,67,68,68,Urea,Drip,0.0
Mungbean,Sandy Loam,30,49,61,6.0,32,43,79,58,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,31,65,20,6.4,32,59,94,61,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,0,18,33,6.8,29,78,57,194,DAP,Sprinkler,0.0
Coffee,Red,71,31,63,6.6,34,79,86,203,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,0,42,16,5.7,35,57,41,34,Organic Compost / General,Furrow,0.0
Chickpea,Loamy,28,62,21,6.4,19,46,52,186,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,87,10,102,6.4,30,75,30,25,SSP,Drip,10.0
Kidneybeans,Sandy Loam,31,44,37,5.7,36,56,73,228,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,2,16,16,6.9,36,35,23,55,DAP,Sprinkler,0.0
Mothbeans,Sandy,44,3,29,6.3,17,48,68,89,DAP,Drip,0.0
Mothbeans,Sandy,9,44,28,7.5,21,54,51,145,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,0,86,64,7.6,21,80,87,33,Organic Compost / General,Drip,0.0
Apple,Clay Loam,89,56,100,6.6,25,34,71,180,Organic Compost / General,Drip,0.0
Apple,Clay Loam,96,43,103,5.6,32,46,48,78,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,44,46,131,6.8,24,85,33,247,Organic Compost / General,Drip,0.0
Papaya,Loamy,104,65,54,6.4,27,85,90,245,Organic Compost / General,Drip,0.0
Banana,Clay,112,64,195,6.0,16,58,28,212,Organic Compost / General,Drip,0.0
Coconut,Red,103,49,149,7.3,28,71,61,205,Organic Compost / General,Basin,0.0
Coconut,Red,80,40,191,6.5,38,73,70,40,Organic Compost / General,Basin,0.0
Coffee,Red,70,34,44,6.5,22,32,42,121,MOP,Sprinkler,0.0
Mungbean,Sandy Loam,14,36,22,6.4,15,82,65,220,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,78,42,59,6.8,26,73,54,132,MOP,Drip,0.0
Rice,Clay,64,48,22,5.9,33,47,89,15,Organic Compost / General,Flood,0.0
Maize,Sandy Loam,85,49,42,6.0,30,76,66,160,Organic Compost / General,Furrow,0.0
Cotton,Black,99,34,42,6.2,23,44,69,67,Organic Compost / General,Drip,0.0
Papaya,Loamy,38,63,75,6.1,34,65,92,109,Urea,Drip,0.0
Mothbeans,Sandy,0,29,5,6.5,35,59,26,210,Organic Compost / General,Drip,0.0
Chickpea,Loamy,0,54,8,6.5,19,33,49,116,MOP,Sprinkler,0.0
Pomegranate,Sandy,63,43,94,7.2,30,57,85,239,Organic Compost / General,Drip,0.0
Lentil,Loamy,0,60,35,5.7,28,49,71,82,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,90,38,102,5.6,29,32,51,227,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,103,31,43,6.8,37,73,63,199,SSP,Furrow,0.0
Rice,Clay,94,54,47,6.8,21,47,88,71,Organic Compost / General,Flood,0.0
Blackgram,Loamy,45,49,10,6.2,32,39,46,166,Organic Compost / General,Furrow,0.0
Pomegranate,Sandy,42,52,59,6.0,25,79,54,20,MOP,Drip,0.0
Coffee,Red,57,35,55,5.1,19,43,89,60,Urea,Sprinkler,0.0
Apple,Clay Loam,91,30,117,5.3,15,42,45,19,Organic Compost / General,Drip,22.5
Muskmelon,Sandy Loam,75,44,113,6.1,35,30,68,0,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,26,0,8.2,32,82,31,218,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,43,62,7.3,31,82,87,214,Organic Compost / General,Furrow,0.0
Blackgram,Loamy,0,30,0,7.2,32,54,41,189,Organic Compost / General,Furrow,0.0
Chickpea,Loamy,0,59,23,5.5,25,87,53,225,Organic Compost / General,Sprinkler,0.0
Rice,Clay,99,59,62,7.5,18,72,26,64,Organic Compost / General,Flood,37.3
Pomegranate,Sandy,59,31,84,6.4,34,57,82,46,Organic Compost / General,Drip,0.0
Apple,Clay Loam,93,36,106,5.7,27,71,20,32,Organic Compost / General,Drip,34.4
Apple,Clay Loam,65,25,90,5.1,15,31,76,227,NPK 10-26-26,Drip,0.0
Maize,Sandy Loam,131,58,9,6.5,35,77,46,221,MOP,Furrow,0.0
Muskmelon,Sandy Loam,62,49,68,6.7,27,88,24,98,Organic Compost / General,Drip,0.0
Cotton,Black,83,73,47,7.2,15,71,35,154,Organic Compost / General,Drip,0.0
Orange,Black,70,44,82,6.1,18,76,76,149,Organic Compost / General,Drip,0.0
Mango,Loamy,91,41,87,6.4,23,66,42,162,Organic Compost / General,Drip,0.0
Coconut,Red,114,31,155,6.0,29,50,35,53,Organic Compost / General,Basin,2.6
Coconut,Red,105,38,144,7.1,28,40,90,179,Organic Compost / General,Basin,0.0
Grapes,Sandy Loam,43,22,144,6.0,28,40,33,46,DAP,Drip,0.0
Pigeonpeas,Loamy,4,65,37,5.8,29,82,20,168,Organic Compost / General,Drip,0.0
Watermelon,Sandy,42,44,82,7.4,37,84,51,141,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,43,46,10,6.6,26,88,94,38,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,0,81,23,6.2,16,38,70,228,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,87,18,88,6.0,27,89,49,110,DAP,Drip,0.0
Banana,Clay,96,83,190,7.5,29,71,24,109,Urea,Drip,0.0
Cotton,Black,84,41,56,7.3,31,73,51,98,Organic Compost / General,Drip,0.0
Mango,Loamy,69,33,91,5.0,30,34,61,139,Organic Compost / General,Drip,0.0
Banana,Clay,112,57,191,6.1,30,62,55,41,Organic Compost / General,Drip,0.0
Rice,Clay,53,41,43,5.0,19,86,47,162,Urea,Flood,0.0
Jute,Clay,35,20,16,6.9,30,70,59,145,Urea,Flood,0.0
Apple,Clay Loam,57,15,96,6.8,25,64,83,174,NPK 10-26-26,Drip,0.0
Banana,Clay,189,59,189,7.6,30,52,65,187,Organic Compost / General,Drip,0.0
Mango,Loamy,74,25,83,6.7,37,55,21,87,Organic Compost / General,Drip,0.0
Chickpea,Loamy,26,77,34,6.2,18,59,34,231,Organic Compost / General,Sprinkler,0.0
Mothbeans,Sandy,19,47,65,6.1,35,82,58,193,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,41,0,5.6,27,55,44,198,Organic Compost / General,Furrow,0.0
Blackgram,Loamy,11,55,0,7.8,24,32,83,14,Organic Compost / General,Furrow,0.0
Mungbean,Sandy Loam,15,14,52,6.2,30,30,85,86,DAP,Sprinkler,0.0
Orange,Black,89,28,109,6.3,15,50,88,182,SSP,Drip,0.0
Mungbean,Sandy Loam,8,52,34,6.6,31,87,66,10,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,99,44,66,7.4,19,62,44,217,Organic Compost / General,Drip,0.0
Lentil,Loamy,0,25,71,7.2,20,74,86,79,Ammonium Sulphate,Sprinkler,0.0
Apple,Clay Loam,114,27,84,6.7,31,90,47,121,MOP,Drip,0.0
Cotton,Black,92,34,37,7.5,21,44,73,154,Organic Compost / General,Drip,0.0
Banana,Clay,124,70,148,7.0,38,34,47,209,MOP,Drip,0.0
Blackgram,Loamy,15,46,8,5.6,38,36,90,160,Organic Compost / General,Furrow,0.0
Grapes,Sandy Loam,14,64,117,6.3,25,34,55,175,Urea,Drip,0.0
Grapes,Sandy Loam,65,41,153,5.7,30,62,63,18,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,50,51,135,7.0,30,43,20,61,Organic Compost / General,Drip,3.7
Orange,Black,71,21,82,5.7,23,63,51,7,Ammonium Sulphate,Drip,6.0
Cotton,Black,87,40,34,7.3,37,43,69,69,Organic Compost / General,Drip,0.0
Jute,Clay,50,33,21,5.9,21,78,79,232,Organic Compost / General,Flood,0.0
Chickpea,Loamy,18,25,37,6.0,22,90,50,42,DAP,Sprinkler,0.0
Cotton,Black,105,23,66,6.6,36,43,89,233,SSP,Drip,0.0
Papaya,Loamy,56,89,70,5.9,25,58,90,135,Urea,Drip,0.0
Blackgram,Loamy,20,38,44,7.4,18,76,32,115,Organic Compost / General,Furrow,0.0
Lentil,Loamy,0,27,13,7.0,31,47,95,122,Ammonium Sulphate,Sprinkler,0.0
Mungbean,Sandy Loam,0,43,33,5.8,27,77,69,230,Organic Compost / General,Sprinkler,0.0
Jute,Clay,32,25,3,6.0,16,44,43,84,Urea,Flood,0.0
Lentil,Loamy,13,53,27,6.8,38,42,32,184,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,88,43,80,7.4,35,90,91,154,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,34,24,8.1,30,62,45,247,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,87,31,146,7.1,35,75,54,250,SSP,Drip,0.0
Jute,Clay,0,37,45,6.6,37,62,91,34,Urea,Flood,0.0
Maize,Sandy Loam,83,45,82,6.7,25,36,59,41,Organic Compost / General,Furrow,0.0
Pomegranate,Sandy,12,29,56,7.2,22,37,80,171,NPK 10-26-26,Drip,0.0
Chickpea,Loamy,0,47,26,6.2,30,77,76,145,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,96,60,61,6.5,32,85,48,225,Organic Compost / General,Drip,0.0
Cotton,Black,73,35,51,7.7,38,67,59,85,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,18,38,47,5.3,15,69,22,109,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,0,48,25,7.2,37,70,27,199,Organic Compost / General,Drip,0.0
Banana,Clay,138,49,181,7.2,28,54,54,5,SSP,Drip,24.0
Coffee,Red,70,30,69,6.7,35,66,92,19,Organic Compost / General,Sprinkler,0.0
Orange,Black,90,22,100,7.7,18,83,90,94,SSP,Drip,0.0
Chickpea,Loamy,10,48,28,6.6,18,38,94,204,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,68,41,80,6.7,21,52,39,224,Organic Compost / General,Drip,0.0
Rice,Clay,71,45,58,6.9,31,51,40,80,Organic Compost / General,Flood,3.5
Pomegranate,Sandy,58,56,113,7.9,24,60,25,4,Organic Compost / General,Drip,37.5
Mothbeans,Sandy,13,4,21,7.2,36,46,65,149,DAP,Drip,0.0
Banana,Clay,140,74,194,6.7,32,82,32,151,Organic Compost / General,Drip,0.0
Watermelon,Sandy,35,29,70,6.6,27,63,25,39,Urea,Drip,6.3
Lentil,Loamy,14,38,28,7.0,27,90,49,16,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,86,32,142,5.7,22,67,75,219,Organic Compost / General,Drip,0.0
Apple,Clay Loam,61,36,120,7.1,21,90,23,240,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,56,37,128,7.2,20,90,50,65,Ammonium Sulphate,Drip,0.0
Papaya,Loamy,58,55,87,7.4,24,46,69,65,Urea,Drip,0.0
Mungbean,Sandy Loam,2,35,0,6.0,18,68,42,100,MOP,Sprinkler,0.0
Blackgram,Loamy,11,29,21,7.2,22,39,62,119,SSP,Furrow,0.0
Mothbeans,Sandy,0,41,14,7.8,38,81,79,231,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,30,37,43,7.3,36,53,42,229,Organic Compost / General,Drip,0.0
Lentil,Loamy,0,51,34,6.3,25,34,35,219,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,9,36,47,6.1,29,33,29,204,Organic Compost / General,Sprinkler,0.0
Banana,Clay,147,63,187,7.2,24,73,23,223,Organic Compost / General,Drip,0.0
Mango,Loamy,83,43,92,5.2,27,58,39,135,Organic Compost / General,Drip,0.0
Coffee,Red,114,43,67,5.4,21,82,85,76,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,74,25,71,6.0,25,88,52,121,DAP,Drip,0.0
Coffee,Red,99,39,55,6.7,28,42,20,133,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,29,52,5,5.9,24,78,74,126,Organic Compost / General,Furrow,0.0
Lentil,Loamy,0,43,13,7.0,29,76,43,74,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,1,20,24,6.5,29,85,66,100,Ammonium Sulphate,Sprinkler,0.0
Grapes,Sandy Loam,67,39,146,6.3,36,54,72,119,SSP,Drip,0.0
Pigeonpeas,Loamy,0,36,27,5.6,31,55,82,103,Ammonium Sulphate,Drip,0.0
Coconut,Red,79,45,150,7.3,19,62,57,149,Urea,Basin,0.0
Grapes,Sandy Loam,61,54,144,5.8,25,38,30,29,Organic Compost / General,Drip,14.3
Kidneybeans,Sandy Loam,12,60,41,6.4,15,54,91,119,Organic Compost / General,Sprinkler,0.0
Banana,Clay,117,58,178,5.7,35,81,31,222,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,0,32,6,6.3,30,43,32,224,MOP,Sprinkler,0.0
Pigeonpeas,Loamy,24,55,71,6.6,16,52,29,128,Organic Compost / General,Drip,0.0
Orange,Black,100,23,56,7.4,23,85,80,186,MOP,Drip,0.0
Watermelon,Sandy,54,36,99,5.6,15,86,29,35,Organic Compost / General,Drip,3.5
Apple,Clay Loam,75,22,124,6.4,17,54,30,209,Ammonium Sulphate,Drip,0.0
Mango,Loamy,80,30,92,6.3,17,59,54,69,Organic Compost / General,Drip,0.0
Cotton,Black,90,48,55,7.4,20,73,30,34,Organic Compost / General,Drip,2.8
Blackgram,Loamy,11,61,35,7.0,37,65,72,226,Organic Compost / General,Furrow,0.0
Pomegranate,Sandy,53,23,73,6.2,21,36,89,24,Ammonium Sulphate,Drip,0.0
Banana,Clay,120,64,197,5.6,28,85,51,136,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,81,42,72,7.9,37,49,83,29,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,1,20,53,5.4,31,31,26,44,Ammonium Sulphate,Sprinkler,0.0
Jute,Clay,53,39,8,7.0,33,35,47,85,MOP,Flood,0.0
Papaya,Loamy,66,47,102,5.6,36,46,49,119,Organic Compost / General,Drip,0.0
Watermelon,Sandy,61,55,70,6.7,20,31,83,169,Organic Compost / General,Drip,0.0
Watermelon,Sandy,79,50,45,7.0,21,33,79,243,MOP,Drip,0.0
Mango,Loamy,80,16,83,6.3,16,78,87,101,SSP,Drip,0.0
Watermelon,Sandy,86,25,114,7.3,21,84,42,243,SSP,Drip,0.0
Apple,Clay Loam,97,45,134,6.5,24,44,71,105,Organic Compost / General,Drip,0.0
Orange,Black,66,48,98,7.8,28,63,24,198,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,52,29,122,6.8,16,53,83,236,Ammonium Sulphate,Drip,0.0
Apple,Clay Loam,37,20,117,6.0,31,80,40,230,Urea,Drip,0.0
Grapes,Sandy Loam,46,45,166,6.3,29,63,94,116,Organic Compost / General,Drip,0.0
Jute,Clay,71,49,28,6.5,37,57,88,249,Organic Compost / General,Flood,0.0
Cotton,Black,96,57,49,5.6,34,47,36,105,Organic Compost / General,Drip,0.0
Watermelon,Sandy,91,33,68,7.1,20,53,20,220,Organic Compost / General,Drip,0.0
Watermelon,Sandy,72,34,86,7.1,36,57,39,204,Organic Compost / General,Drip,0.0
Blackgram,Loamy,11,35,37,6.8,26,60,93,56,Organic Compost / General,Furrow,0.0
Mothbeans,Sandy,2,47,4,8.0,37,66,59,39,Organic Compost / General,Drip,0.0
Watermelon,Sandy,74,40,51,7.3,21,46,70,54,MOP,Drip,0.0
Pomegranate,Sandy,74,15,93,6.9,16,43,71,210,DAP,Drip,0.0
Jute,Clay,97,20,46,5.6,24,60,67,116,Organic Compost / General,Flood,0.0
Mungbean,Sandy Loam,25,62,24,6.5,17,60,42,201,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,0,41,7,6.6,27,68,73,145,Organic Compost / General,Sprinkler,0.0
Rice,Clay,67,35,42,5.3,28,30,41,140,Organic Compost / General,Flood,0.0
Lentil,Loamy,2,50,41,6.2,16,37,65,180,Organic Compost / General,Sprinkler,0.0
Rice,Clay,94,52,52,5.2,23,38,71,22,Organic Compost / General,Flood,3.4
Chickpea,Loamy,47,72,60,7.7,34,46,24,73,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,63,34,80,5.7,25,51,55,43,Organic Compost / General,Drip,0.0
Papaya,Loamy,77,46,46,5.6,34,74,93,184,MOP,Drip,0.0
Apple,Clay Loam,87,59,109,5.7,38,75,95,149,Organic Compost / General,Drip,0.0
Papaya,Loamy,92,42,60,6.4,25,69,49,174,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,7,36,65,7.0,25,55,20,200,Organic Compost / General,Sprinkler,0.0
Orange,Black,69,55,84,7.2,25,89,56,108,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,53,27,80,6.2,28,38,71,132,Ammonium Sulphate,Drip,0.0
Orange,Black,86,53,106,6.9,36,42,52,41,Organic Compost / General,Drip,0.0
Banana,Clay,163,47,202,7.5,34,35,81,13,SSP,Drip,0.0
Orange,Black,54,31,132,7.9,18,54,69,145,Urea,Drip,0.0
Rice,Clay,63,51,48,5.8,20,51,26,46,Organic Compost / General,Flood,51.7
Chickpea,Loamy,14,61,57,6.9,33,33,33,69,Organic Compost / General,Sprinkler,0.0
Rice,Clay,98,50,34,7.3,27,83,93,68,Organic Compost / General,Flood,0.0
Coconut,Red,84,64,146,5.9,28,63,85,238,Organic Compost / General,Basin,0.0
Banana,Clay,129,63,173,5.9,34,59,49,147,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,117,46,31,6.7,25,35,57,113,Organic Compost / General,Furrow,0.0
Maize,Sandy Loam,108,51,58,6.0,24,38,57,139,Organic Compost / General,Furrow,0.0
Coffee,Red,77,13,96,5.3,16,83,65,71,Ammonium Sulphate,Sprinkler,0.0
Apple,Clay Loam,57,44,143,6.8,29,55,42,232,Urea,Drip,0.0
Pigeonpeas,Loamy,0,23,44,6.0,18,78,75,19,DAP,Drip,0.0
Rice,Clay,88,17,52,6.0,18,72,68,230,DAP,Flood,0.0
Orange,Black,73,33,48,5.5,25,73,83,226,MOP,Drip,0.0
Chickpea,Loamy,35,74,56,6.7,37,53,87,63,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,2,51,66,6.5,38,84,38,10,Organic Compost / General,Sprinkler,3.0
Coffee,Red,65,0,58,5.7,26,76,72,248,NPK 10-26-26,Sprinkler,0.0
Watermelon,Sandy,55,36,84,6.9,37,45,89,41,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,43,61,138,6.1,23,83,35,76,Organic Compost / General,Drip,0.0
Lentil,Loamy,14,37,0,6.5,36,36,46,195,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,67,34,133,6.7,37,44,48,122,SSP,Drip,0.0
Maize,Sandy Loam,122,48,67,5.3,15,53,77,246,Organic Compost / General,Furrow,0.0
